link,title,company,location,date,time,scrape_date,scrape_time
https://in.indeed.com/viewjob?jk=4a19059bdcb5e4d3,AI Engineer,Mercari India,"KA, IN",2025-09-18,16:44:51,2025-09-18,16:44:51
https://in.indeed.com/viewjob?jk=66e462502377423a,AI Engineer,COGNNA,"Remote, IN",2025-09-18,16:44:51,2025-09-18,16:44:51
https://www.linkedin.com/jobs/view/4302416525,"Data Scientist (Search, eCommerce, AI/ML)",CG-VAK Software & Exports Ltd.,"Pune, Maharashtra, India",2025-09-18,17:18:02,2025-09-18,17:18:02
https://www.linkedin.com/jobs/view/4302415638,"Head Data Scientist (Search, eCommerce, AI/ML)",CG-VAK Software & Exports Ltd.,"Pune, Maharashtra, India",2025-09-18,17:18:02,2025-09-18,17:18:02
https://www.linkedin.com/jobs/view/4300699261,Senior Machine Learning Engineer,Quantiphi,"Trivandrum, Kerala, India",2025-09-18,17:18:02,2025-09-18,17:18:02
https://in.indeed.com/viewjob?jk=bd7f5a0a61b14f35,"Senior Engineer, Machine Learning Engineering-1",Mastercard,"MH, IN",2025-09-18,18:30:15,2025-09-18,18:30:15
https://in.indeed.com/viewjob?jk=ba28d5eaa3de5edd,"Lead Engineer, Machine Learning Engineering",Mastercard,"MH, IN",2025-09-18,18:30:15,2025-09-18,18:30:15
https://www.linkedin.com/jobs/view/4302418629,Machine Learning Engineer,Passionbits,"Bengaluru, Karnataka, India",2025-09-18,18:30:15,2025-09-18,18:30:15
https://www.linkedin.com/jobs/view/4302433361,"Group Lead, IT - Data Engineering Chapter",Kraft Heinz,"Ahmedabad, Gujarat, India",2025-09-18,18:30:15,2025-09-18,18:30:15
https://in.indeed.com/viewjob?jk=f80eedd75753586c,Senior Machine Learning Engineer,Quantiphi,"KL, IN",2025-09-18,18:50:50,2025-09-18,18:50:50
https://www.linkedin.com/jobs/view/4302859170,Interesting Job Opportunity: Wobot.ai - Computer Vision Engineer - Python/OpenCV,Wobot AI,,2025-09-19,01:38:14,2025-09-19,01:38:14
https://www.linkedin.com/jobs/view/4302860175,Interesting Job Opportunity: Machine Learning Engineer - NLP/LLM,MyNaksh,"Bengaluru, Karnataka, India",2025-09-19,01:38:14,2025-09-19,01:38:14
https://www.linkedin.com/jobs/view/4302877023,Sigmasoft - Generative AI Data Engineer,Sigmasoft™,"Pune, Maharashtra, India",2025-09-19,01:38:14,2025-09-19,01:38:14
https://www.linkedin.com/jobs/view/4302700038,Machine Learning Engineers,GlobalPros,,2025-09-19,03:47:59,2025-09-19,03:47:59
https://www.linkedin.com/jobs/view/4302495040,Azure AI Engineer - India,eduCLaaS,"New Delhi, Delhi, India",2025-09-19,03:47:59,2025-09-19,03:47:59
https://in.indeed.com/viewjob?jk=2cc2d5dad7370915,Senior Machine Learning Engineer (R0099955),Domnic Lewis,"KA, IN",2025-09-19,05:18:55,2025-09-19,05:18:55
https://www.linkedin.com/jobs/view/4302491485,Founding AI Engineer,owow,,2025-09-19,05:18:55,2025-09-19,05:18:55
https://www.linkedin.com/jobs/view/4302488784,Staff Machine Learning Engineer- GenAI,Coupang,"Bengaluru, Karnataka, India",2025-09-19,05:40:14,2025-09-19,05:40:14
https://www.linkedin.com/jobs/view/4302493524,Machine Learning Engineer,BayOne Solutions,,2025-09-19,06:30:33,2025-09-19,06:30:33
https://www.linkedin.com/jobs/view/4300443175,Machine Learning Engineer - H&E Staining,Micro Crispr Pvt. Ltd.,"Delhi, India",2025-09-19,06:30:33,2025-09-19,06:30:33
https://www.linkedin.com/jobs/view/4301051211,AI Architect / Senior Data Scientist,CirrusLabs,"Bengaluru, Karnataka, India",2025-09-19,06:30:33,2025-09-19,06:30:33
https://www.linkedin.com/jobs/view/4301036458,Senior AI Engineer,Quantal AI,"Mumbai, Maharashtra, India",2025-09-19,06:30:33,2025-09-19,06:30:33
https://www.linkedin.com/jobs/view/4302899820,IN_Senior Associate_Data Scientist Gen AI_Data & Analytics_Advisory_Hyderabad,PwC India,"Hyderabad, Telangana, India",2025-09-19,06:30:33,2025-09-19,06:30:33
https://www.linkedin.com/jobs/view/4301036507,Computer Vision / Machine Learning Engineer,iGuru Software Ltd.,"Ahmedabad, Gujarat, India",2025-09-19,07:19:31,2025-09-19,07:19:31
https://www.linkedin.com/jobs/view/4303015333,Computer Vision Engineer (Freelancer),Soul AI,,2025-09-19,07:19:31,2025-09-19,07:19:31
https://www.linkedin.com/jobs/view/4303016320,Machine Learning Engineer (Freelancer),Soul AI,,2025-09-19,07:19:31,2025-09-19,07:19:31
https://www.linkedin.com/jobs/view/4302496800,AI Engineer,msg global solutions,"Bengaluru, Karnataka, India",2025-09-19,07:19:31,2025-09-19,07:19:31
https://www.linkedin.com/jobs/view/4302492880,AI Engineer Intern,Desible.ai,"Bengaluru, Karnataka, India",2025-09-19,07:19:31,2025-09-19,07:19:31
https://www.linkedin.com/jobs/view/4302711140,Calsoft is Hiring | AI Engineers (Semantic Kernel),Calsoft,"Bengaluru, Karnataka, India",2025-09-19,07:19:31,2025-09-19,07:19:31
https://www.linkedin.com/jobs/view/4302706514,Sr. AI Engineer,Zykrr — The CX Monetization Company,"Gurugram, Haryana, India",2025-09-19,07:19:31,2025-09-19,07:19:31
https://www.linkedin.com/jobs/view/4302703666,Data Scientist,NTek Software Solutions,"Bengaluru, Karnataka, India",2025-09-19,07:38:03,2025-09-19,07:38:03
https://www.linkedin.com/jobs/view/4303008431,Data Scientist (Freelancer),Soul AI,,2025-09-19,07:38:03,2025-09-19,07:38:03
https://www.linkedin.com/jobs/view/4302704780,AI Engineer,Claimsync.ai,"Bengaluru, Karnataka, India",2025-09-19,08:27:08,2025-09-19,08:27:08
https://www.linkedin.com/jobs/view/4303007556,Senior AI Engineer,Rockwell Automation,"Andaman and Nicobar Islands, India",2025-09-19,08:27:08,2025-09-19,08:27:08
https://www.linkedin.com/jobs/view/4303022348,Senior AI Engineer,Rockwell Automation,"Hyderabad, Telangana, India",2025-09-19,08:27:08,2025-09-19,08:27:08
https://www.linkedin.com/jobs/view/4303007555,Senior AI Engineer,Rockwell Automation,"Pune, Maharashtra, India",2025-09-19,08:27:08,2025-09-19,08:27:08
https://www.linkedin.com/jobs/view/4303012498,Senior AI Engineer,Rockwell Automation,"Andaman and Nicobar Islands, India",2025-09-19,08:27:08,2025-09-19,08:27:08
https://www.linkedin.com/jobs/view/4301049423,AI Engineer (3-7 Years of Exp I Mumbai  I  Immediate Joiners),Perimattic,,2025-09-19,08:27:08,2025-09-19,08:27:08
https://www.linkedin.com/jobs/view/4302708771,Machine Learning Engineer – Image Processing (1-2 Years Exp.),Orbion Infotech,,2025-09-19,08:47:02,2025-09-19,08:47:02
https://www.linkedin.com/jobs/view/4302722111,Machine Learning Engineer Intern,Pixeltalent Lab,,2025-09-19,09:22:16,2025-09-19,09:22:16
https://www.linkedin.com/jobs/view/4217133316,"Founding/Lead Data Scientist (Generalist) — ML, GenAI, and DL",SkillCamper,"Bengaluru, Karnataka, India",2025-09-19,09:22:16,2025-09-19,09:22:16
